No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
4849,2013,9,19,0,81.0,90.0,14.0,58.0,1500.0,17.0,20.9,1010.2,19.2,0.0,ENE,0.6,Aotizhongxin
6328,2013,11,19,15,36.0,47.0,31.0,34.0,600.0,32.9868,7.8,1012.8,-12.1,0.0,E,1.6,Changping
21796,2015,8,26,3,12.0,19.0,2.0,38.0,400.0,35.0,22.6,1005.5,18.2,0.0,NE,0.7,Aotizhongxin
7299,2013,12,30,2,18.0,41.0,23.0,44.0,700.0,29.0,4.2,1012.9,-20.2,0.0,WNW,2.4,Nongzhanguan
15449,2014,12,4,16,6.0,35.0,2.0,2.0,200.0,71.0,0.9,1028.0,-25.4,0.0,WNW,3.7,Dingling
21683,2015,8,21,10,14.0,14.0,2.0,41.0,600.0,76.0,28.2,1002.8,12.5,0.0,NE,1.7,Wanshouxigong
21228,2015,8,2,11,71.0,71.0,2.0,33.0,1200.0,62.0,27.1,995.8,24.4,0.0,E,0.8,Gucheng
15973,2014,12,26,12,84.0,114.0,67.0,91.0,2800.0,5.0,1.2,1021.0,-11.3,0.0,E,1.5,Gucheng
21210,2015,8,1,17,46.0,48.0,4.0,46.0,1400.0,120.0,26.2,1000.4,21.2,0.0,E,1.3,Aotizhongxin
1544,2013,5,4,7,105.0,120.0,7.0,60.0,1200.0,23.0,15.6,1015.1,8.3,0.0,ESE,1.8,Shunyi
12996,2014,8,24,11,9.0,9.0,18.0,19.0,200.0,55.0,30.3,1001.2,11.3,0.0,NE,3.3,Wanliu
34284,2017,1,27,11,31.0,31.0,12.0,23.0,700.0,56.0,0.8,1029.2,-15.5,0.0,SW,5.3,Nongzhanguan
4441,2013,9,2,0,43.0,52.0,3.0,40.0,800.0,79.0,18.5,1006.7,16.5,0.0,W,0.5,Gucheng
7908,2014,1,24,11,253.0,290.0,157.0,150.0,5900.0,1.0,4.4,1011.8,-10.5,0.0,NE,1.5,Wanliu
31176,2016,9,19,23,12.0,21.0,2.0,26.0,400.0,2.0,13.9,1011.8,12.1,0.0,NW,1.8,Huairou
11082,2014,6,5,17,39.0,51.0,6.0,13.0,400.0,226.0,32.6,993.0,15.1,0.0,SSW,2.5,Dingling
4019,2013,8,15,10,104.0,58.0,6.0,62.0,1000.0,64.0,31.7,996.9,25.8,0.0,SE,0.8,Wanshouxigong
23871,2015,11,20,14,90.0,90.0,8.0,39.0,2800.0,2.0,0.8,1022.6,-0.7,0.0,E,1.9,Tiantan
28666,2016,6,7,9,33.0,106.0,3.0,13.0,600.0,48.0,23.3,1003.8,14.3,0.0,E,1.2,Huairou
22829,2015,10,8,4,4.0,14.0,2.0,24.0,200.0,35.0,15.9,1015.4,-4.7,0.0,NNW,3.1,Nongzhanguan
26430,2016,3,6,5,27.0,120.0,3.0,9.0,400.0,50.0,1.3,1010.4,-11.5,0.0,NW,1.4,Dingling
7219,2013,12,26,18,10.0,37.0,5.0,31.0,400.0,47.0,-0.4,1028.1,-18.6,0.0,NE,2.4,Guanyuan
7691,2014,1,15,10,216.0,275.0,112.0,129.0,7000.0,7.0,-0.4,1023.3,-15.9,0.0,SE,2.1,Changping
25056,2016,1,8,23,126.0,144.0,39.0,110.0,2600.0,7.0,-4.7,1022.4,-12.8,0.0,W,1.1,Aotizhongxin
12645,2014,8,9,20,49.0,130.0,5.0,38.0,800.0,155.0,21.6,1000.9,18.0,4.4,NW,4.3,Wanshouxigong
12359,2014,7,28,22,102.0,170.0,2.0,56.0,900.0,109.0,28.9,995.5,21.9,0.0,S,0.6,Gucheng
8045,2014,1,30,4,7.0,6.0,6.0,2.0,300.0,92.0,2.5,1008.9,-14.2,0.0,ENE,1.1,Gucheng
21163,2015,7,30,18,80.0,80.0,2.0,32.0,1400.0,101.0,21.9,1000.9,20.7,0.0,E,3.2,Guanyuan
2785,2013,6,25,0,48.0,46.0,3.0,45.0,700.0,62.0,20.7,998.4,20.2,0.0,NNW,0.1,Tiantan
27600,2016,4,23,23,49.0,78.0,12.0,49.0,500.0,40.0,15.2,1010.4,-6.4,0.0,SSE,1.9,Nongzhanguan
28674,2016,6,7,17,72.0,92.0,2.0,15.0,800.0,146.0,26.3,1004.8,15.4,0.0,WSW,2.7,Tiantan
17044,2015,2,9,3,155.0,155.0,60.0,64.0,2000.0,8.0,-6.0,1030.0,-20.8,0.0,ENE,1.7,Dongsi
29962,2016,7,31,9,72.0,72.0,3.0,19.0,2400.0,32.0,25.3,1006.3,22.2,0.0,WNW,1.0,Wanshouxigong
26508,2016,3,9,11,5.0,14.0,3.0,7.0,300.0,74.0,1.5,1027.0,-23.2,0.0,N,4.6,Gucheng
3013,2013,7,4,12,21.0,64.0,12.0,37.0,700.0,136.0,35.6,986.9,14.3,0.0,E,1.6,Wanshouxigong
14919,2014,11,12,14,3.0,49.0,3.0,8.0,200.0,70.0,7.0,1020.0,-18.8,0.0,NW,7.1,Tiantan
3901,2013,8,10,12,134.0,237.0,14.28,45.7819,,174.0,33.8,1000.3,26.3,0.0,E,1.5,Dongsi
9363,2014,3,26,2,163.0,172.0,34.0,54.0,1300.0,87.0,11.3,1000.7,3.6,0.0,ENE,0.8,Changping
6122,2013,11,11,1,12.0,27.0,11.0,47.0,500.0,15.4224,2.9,1026.6,-12.2,0.0,NNE,1.7,Tiantan
4460,2013,9,2,19,77.0,118.0,18.0,42.0,1800.0,197.0,23.6,1007.6,16.4,0.0,SW,0.5,Gucheng
34112,2017,1,20,7,7.0,23.0,3.0,35.0,700.0,43.0,-7.45,1032.0,-22.3,0.0,NW,1.6,Tiantan
31061,2016,9,15,4,45.0,74.0,2.0,72.0,600.0,2.0,20.3,1003.0,15.8,0.0,NE,4.2,Gucheng
7513,2014,1,8,0,18.0,26.0,7.0,21.0,400.0,39.0,-0.2,1025.4,-20.5,0.0,NE,2.9,Wanshouxigong
20852,2015,7,17,19,37.0,57.0,2.0,13.0,600.0,110.0,25.5,996.8,19.9,0.0,WNW,1.5,Huairou
3156,2013,7,10,11,27.0,24.0,4.0,39.0,,32.3442,25.2,999.1,21.7,0.0,N,1.1,Wanshouxigong
397,2013,3,17,12,249.0,299.0,89.0,90.0,2399.0,107.0,13.0,996.9,1.9,0.0,ESE,1.9,Changping
3832,2013,8,7,15,22.0,10.0,3.0,12.0,500.0,61.0,23.4,994.8,20.0,0.2,N,1.8,Dingling
19645,2015,5,28,12,130.0,130.0,28.0,29.0,1200.0,180.0,28.8,999.3,16.0,0.0,SW,3.5,Dongsi
22758,2015,10,5,5,160.0,160.0,2.0,64.0,1100.0,9.0,13.3,1014.7,12.5,0.0,ENE,1.0,Wanliu
17252,2015,2,17,19,30.0,58.0,14.0,46.0,800.0,48.0,7.0,1016.0,-10.3,0.0,NNE,0.6,Gucheng
34114,2017,1,20,9,8.0,22.0,10.0,49.0,800.0,33.0,-7.0,1033.0,-21.0,0.0,NE,1.8,Nongzhanguan
18819,2015,4,24,2,131.0,256.0,7.0,79.0,800.0,10.0,14.1,1015.2,-2.8,0.0,E,0.7,Gucheng
32252,2016,11,3,19,301.0,343.0,5.0,141.0,2900.0,5.0,5.4,1007.2,1.5,0.0,NW,1.0,Gucheng
